,Utilisateur,Date,Heure,Action,Attribut,Delai
0,tdelille,2009-02-12,11:33:55,Connexion,login=tdelille,
1,tdelille,2009-02-12,11:33:58,Afficher une structure (cours/forum),IDFORUM=7,
2,mmay,2009-02-13,03:40:13,Répondre à un message,IDFORUM=7,00:09:46
3,mmay,2009-02-13,03:40:13,Répondre à un message,IDMSG=1184,00:09:46
4,mmay,2009-02-13,03:40:13,Répondre à un message,IDPARENT=1183,00:09:46
5,mmay,2009-02-13,03:30:13,Afficher le fil de discussion,IDFORUM=7,00:00:03
6,mmay,2009-02-13,03:30:13,Afficher le fil de discussion,IDMSG=1163,00:00:03
7,mmay,2009-02-13,03:27:50,Afficher le fil de discussion,IDFORUM=7,
8,mmay,2009-02-13,03:27:50,Afficher le fil de discussion,IDMSG=1163,
9,tdelille,2009-02-12,11:36:33,Afficher une structure (cours/forum),IDFORUM=10,
10,tdelille,2009-02-12,12:00:32,Afficher une structure (cours/forum),IDFORUM=7,
11,tdelille,2009-02-12,12:02:49,Afficher une structure (cours/forum),IDFORUM=7,
12,tdelille,2009-02-12,12:03:07,Afficher une structure (cours/forum),IDFORUM=7,
13,tdelille,2009-02-12,12:08:32,Poster un nouveau message,IDFORUM=7,00:04:11
14,tdelille,2009-02-12,12:08:32,Poster un nouveau message,IDMSG=1163,00:04:11
15,tdelille,2009-02-12,12:16:59,Connexion,login=tdelille,
16,tdelille,2009-02-12,12:16:59,Afficher une structure (cours/forum),IDFORUM=10,
17,tdelille,2009-02-12,12:17:21,Afficher une structure (cours/forum),IDFORUM=11,
18,tdelille,2009-02-12,12:17:24,Afficher une structure (cours/forum),IDFORUM=10,
19,tdelille,2009-02-12,12:18:12,Afficher une structure (cours/forum),IDFORUM=9,
20,tdelille,2009-02-12,12:18:19,Afficher une structure (cours/forum),IDFORUM=9,
21,tdelille,2009-02-12,12:18:44,Afficher une structure (cours/forum),IDFORUM=10,
22,mmay,2009-02-13,03:30:09,Afficher le fil de discussion,IDFORUM=7,
23,mmay,2009-02-13,03:30:09,Afficher le fil de discussion,IDMSG=1163,
24,ddaniaupotter,2009-02-12,12:47:28,Connexion,login=ddaniaupotter,
25,ddaniaupotter,2009-02-12,12:47:28,Afficher une structure (cours/forum),IDFORUM=7,
26,ddaniaupotter,2009-02-12,12:47:56,Afficher le contenu d''un message,IDFORUM=7,00:03:08
27,ddaniaupotter,2009-02-12,12:47:56,Afficher le contenu d''un message,IDMSG=1163,00:03:08
28,mmay,2009-02-13,03:27:42,Afficher le fil de discussion,IDFORUM=7,
29,mmay,2009-02-13,03:27:42,Afficher le fil de discussion,IDMSG=1163,
30,ddaniaupotter,2009-02-12,12:59:12,Répondre à un message,IDFORUM=7,00:08:02
31,ddaniaupotter,2009-02-12,12:59:12,Répondre à un message,IDMSG=1164,00:08:02
32,ddaniaupotter,2009-02-12,12:59:12,Répondre à un message,IDPARENT=1163,00:08:02
33,ddaniaupotter,2009-02-12,12:59:19,Afficher le contenu d''un message,IDFORUM=7,
34,ddaniaupotter,2009-02-12,12:59:19,Afficher le contenu d''un message,IDMSG=1163,
35,ddaniaupotter,2009-02-12,12:59:24,Afficher le contenu d''un message,IDFORUM=7,
36,ddaniaupotter,2009-02-12,12:59:24,Afficher le contenu d''un message,IDMSG=1164,
37,ddaniaupotter,2009-02-12,13:01:19,Afficher le contenu d''un message,IDFORUM=7,
38,ddaniaupotter,2009-02-12,13:01:19,Afficher le contenu d''un message,IDMSG=1163,
39,ddaniaupotter,2009-02-12,13:02:14,Afficher une structure (cours/forum),IDFORUM=10,
40,mmay,2009-02-13,03:27:36,Connexion,login=mmay,
41,mmay,2009-02-13,03:27:36,Afficher une structure (cours/forum),IDFORUM=7,
42,gachort,2009-02-13,02:52:46,Afficher une structure (cours/forum),IDFORUM=10,
43,gachort,2009-02-13,02:52:16,Afficher une structure (cours/forum),IDFORUM=7,
44,gachort,2009-02-13,02:46:02,Afficher le contenu d''un message,IDFORUM=7,00:00:22
45,gachort,2009-02-13,02:46:02,Afficher le contenu d''un message,IDMSG=1166,00:00:22
46,gachort,2009-02-13,02:51:54,Répondre à un message,IDFORUM=7,00:05:27
47,gachort,2009-02-13,02:51:54,Répondre à un message,IDMSG=1183,00:05:27
48,gachort,2009-02-13,02:51:54,Répondre à un message,IDPARENT=1166,00:05:27
49,gachort,2009-02-13,02:45:31,Afficher le contenu d''un message,IDFORUM=7,
50,gachort,2009-02-13,02:45:31,Afficher le contenu d''un message,IDMSG=1164,
51,gachort,2009-02-13,02:45:50,Afficher le contenu d''un message,IDFORUM=7,00:00:10
52,gachort,2009-02-13,02:45:50,Afficher le contenu d''un message,IDMSG=1165,00:00:10
53,gachort,2009-02-13,02:45:03,Afficher une structure (cours/forum),IDFORUM=7,
54,gachort,2009-02-13,02:45:15,Afficher le contenu d''un message,IDFORUM=7,00:00:13
55,gachort,2009-02-13,02:45:15,Afficher le contenu d''un message,IDMSG=1163,00:00:13
56,gachort,2009-02-13,02:45:03,Connexion,login=gachort,
57,ddaniaupotter,2009-02-12,13:47:17,Afficher une structure (cours/forum),IDFORUM=7,
58,tdelille,2009-02-12,14:31:13,Connexion,login=tdelille,
59,tdelille,2009-02-12,14:31:14,Afficher une structure (cours/forum),IDFORUM=7,
60,tdelille,2009-02-12,14:31:17,Afficher le contenu d''un message,IDFORUM=7,00:00:30
